ID;Código (SKU);Descrição;Unidade;Classificação fiscal;Origem;Preço;Valor IPI fixo;Observações;Situação;Estoque;Preço de custo;Cód do Fornecedor;Fornecedor;Localização;Estoque máximo;Estoque mínimo;Peso líquido (Kg);Peso bruto (Kg);GTIN/EAN;GTIN/EAN tributável;Descrição complementar;CEST;Código de Enquadramento IPI;Formato embalagem;Largura embalagem;Altura embalagem;Comprimento embalagem;Diâmetro embalagem;Tipo do produto;URL imagem 1;URL imagem 2;URL imagem 3;URL imagem 4;URL imagem 5;URL imagem 6;Categoria;Código do pai;Variações;Marca;Garantia;Sob encomenda;Preço promocional;URL imagem externa 1;URL imagem externa 2;URL imagem externa 3;URL imagem externa 4;URL imagem externa 5;URL imagem externa 6;Link do vídeo;Título SEO;Descrição SEO;Palavras chave SEO;Slug;Dias para preparação;Controlar lotes;Unidade por caixa;URL imagem externa 7;URL imagem externa 8;URL imagem externa 9;URL imagem externa 10;Markup;Permitir inclusão nas vendas;EX TIPI
343945139;3796; MORANGUETE 13g;UN;1806.90.00;0 - Nacional, exceto as indicadas nos códigos 3 a 5;0,8;0;;Ativo;6;0,485;5715;AUXILIADORA COM.PRODUTOS ALIMENT.LTDA;;0;0;0;0;7896066729091;;;17.009.00;;Pacote / Caixa;0;0;0;0;S;;;;;;;;;;;;Não;0;;;;;;;;;;;;0;Não;;;;;;0;Sim;
349632633;3873; MORANGUETE 25g;UN;1806.90.00;0 - Nacional, exceto as indicadas nos códigos 3 a 5;1,5;0;;Ativo;-24;0,485;5715;AUXILIADORA COM.PRODUTOS ALIMENT.LTDA;;0;0;0;0;7896066766560;;;17.009.00;;Pacote / Caixa;0;0;0;0;S;;;;;;;;;;;;Não;0;;;;;;;;;;;;0;Não;;;;;;0;Sim;
338281939;3697;Abracadeira Nylon 150X2,5Mm Preto C/ 100Un Starfer;Un;7326.19.00;0 - Nacional, exceto as indicadas nos códigos 3 a 5;7,2;0;;Ativo;12;4,5;27326;;;0;0;0;0;7891638041892;;;10.062.00;;Pacote / Caixa;0;0;0;0;S;;;;;;;Utilidades;;;;;Não;0;;;;;;;;Abracadeira Nylon 100X2,5Mm Preta C/ 100Un Starfer;;;;0;Não;;;;;;0;Sim;
338281943;3698;Abracadeira Nylon 200X2,5Mm Preta C/ 100Un Starfer;Un;7326.19.00;0 - Nacional, exceto as indicadas nos códigos 3 a 5;10;0;;Ativo;6;6,3;39006;;;0;0;0;0;7891638041908;;;10.062.00;;Pacote / Caixa;0;0;0;0;S;https://s3.amazonaws.com/tiny-anexos-us/erp/MTI0Mjk0MDc0MA/cb57ae1815e3739fe14319253435c970.png;;;;;;Utilidades;;;;;Não;0;;;;;;;;Abracadeira Nylon 100X2,5Mm Preta C/ 100Un Starfer;;;;0;Não;;;;;;0;Sim;
338281950;3699;Abracadeira Nylon 200X3,6Mm Preta C/ 100Un Starfer;Un;7326.19.00;0 - Nacional, exceto as indicadas nos códigos 3 a 5;15,5;0;;Ativo;8;9,6;;;;0;0;0;0;7891638041922;;;10.062.00;;Pacote / Caixa;0;0;0;0;S;https://s3.amazonaws.com/tiny-anexos-us/erp/MTI0Mjk0MDc0MA/abb0adc5f970924247172515cd221aa8.png;;;;;;Utilidades;;;;;Não;0;;;;;;;;Abracadeira Nylon 150X3,6Mm Preta C/ 100Un Starfer;;;;0;Não;;;;;;0;Sim;
338281956;3700;Abracadeira Nylon 250X3,6Mm Preta C/ 100Un Starfer;Un;7326.19.00;0 - Nacional, exceto as indicadas nos códigos 3 a 5;19,2;0;;Ativo;8;12;39009;;;0;0;0;0;7891638041939;;;10.062.00;;Pacote / Caixa;0;0;0;0;S;https://s3.amazonaws.com/tiny-anexos-us/erp/MTI0Mjk0MDc0MA/a49ca8e2d6775ff941ce794685a59dd5.png;;;;;;Utilidades;;;;;Não;0;;;;;;;;Abracadeira Nylon 200X2,5Mm Preta C/ 100Un Starfer;;;;0;Não;;;;;;0;Sim;
342709193;3739;Agua Com Gás lindoya Gold 510Ml;UN;2201.10.00;0 - Nacional, exceto as indicadas nos códigos 3 a 5;3;0;;Ativo;272;1,578;;;;0;0;0;0;7896089500318;;"<p><br style=""color: #202124; font-family: Roboto, Arial, sans-serif; font-size: 16px; font-variant-ligatures: none; letter-spacing: 0.1px; white-space-collapse: preserve;""><br style=""color: #202124; font-family: Roboto, Arial, sans-serif; font-size: 16px; font-variant-ligatures: none; letter-spacing: 0.1px; white-space-collapse: preserve;""><span style=""color: #202124; font-family: Roboto, Arial, sans-serif; font-size: 16px; font-variant-ligatures: none; letter-spacing: 0.1px; white-space-collapse: preserve;"">A Água com Gás Crystal Gold 510ml é uma bebida refrescante e sofisticada que combina a pureza da água com a sutileza das bolhas de gás. Sua embalagem elegante e prática de 510ml é perfeita para acompanhar momentos de descontração ou refeições especiais. Com um sabor limpo e revigorante, esta água com gás é a escolha ideal para quem busca uma experiência de alta qualidade e requinte.</span><br style=""color: #202124; font-family: Roboto, Arial, sans-serif; font-size: 16px; font-variant-ligatures: none; letter-spacing: 0.1px; white-space-collapse: preserve;""><br style=""color: #202124; font-family: Roboto, Arial, sans-serif; font-size: 16px; font-variant-ligatures: none; letter-spacing: 0.1px; white-space-collapse: preserve;""><span style=""color: #202124; font-family: Roboto, Arial, sans-serif; font-size: 16px; font-variant-ligatures: none; letter-spacing: 0.1px; white-space-collapse: preserve;"">_____________________________________________________________________________</span><br style=""color: #202124; font-family: Roboto, Arial, sans-serif; font-size: 16px; font-variant-ligatures: none; letter-spacing: 0.1px; white-space-collapse: preserve;""><br style=""color: #202124; font-family: Roboto, Arial, sans-serif; font-size: 16px; font-variant-ligatures: none; letter-spacing: 0.1px; white-space-collapse: preserve;""><span style=""color: #202124; font-family: Roboto, Arial, sans-serif; font-size: 16px; font-variant-ligatures: none; letter-spacing: 0.1px; white-space-collapse: preserve;"">Quantidade: Unidade com 510ml</span><br style=""color: #202124; font-family: Roboto, Arial, sans-serif; font-size: 16px; font-variant-ligatures: none; letter-spacing: 0.1px; white-space-collapse: preserve;""><br style=""color: #202124; font-family: Roboto, Arial, sans-serif; font-size: 16px; font-variant-ligatures: none; letter-spacing: 0.1px; white-space-collapse: preserve;""><span style=""color: #202124; font-family: Roboto, Arial, sans-serif; font-size: 16px; font-variant-ligatures: none; letter-spacing: 0.1px; white-space-collapse: preserve;"">Material: plástico pet</span><br style=""color: #202124; font-family: Roboto, Arial, sans-serif; font-size: 16px; font-variant-ligatures: none; letter-spacing: 0.1px; white-space-collapse: preserve;""><br style=""color: #202124; font-family: Roboto, Arial, sans-serif; font-size: 16px; font-variant-ligatures: none; letter-spacing: 0.1px; white-space-collapse: preserve;""><br style=""color: #202124; font-family: Roboto, Arial, sans-serif; font-size: 16px; font-variant-ligatures: none; letter-spacing: 0.1px; white-space-collapse: preserve;""></p>";03.005.04;;Pacote / Caixa;0;0;0;0;S;https://s3.amazonaws.com/tiny-anexos-us/erp/MTI0Mjk0MDc0MA/5ade4f70bc0435bf72da7bed821544e2.png;;;;;;Alimentos;;;Crystal;;Não;0;;;;;;;;Agua Com Gás Crystal Gold 510Ml;Refresque se com Água com Gás Crystal Gold 510ml. Pureza e sofisticação em cada gole. Experimente agora!;;;0;Não;;;;;;0;Sim;
342379239;3715;Agua Sem Gás Lindoya 510Ml;UN;2201.10.00;0 - Nacional, exceto as indicadas nos códigos 3 a 5;2,5;0;;Ativo;215;1,472;;;;0;0;0;0;7897041500001;;"<p><span style=""color: #202124; font-family: Roboto, Arial, sans-serif; font-size: 16px; font-variant-ligatures: none; letter-spacing: 0.1px; white-space-collapse: preserve;"">A Água sem gás Claríssima 510Ml é uma bebida refrescante e sofisticada que combina a pureza da água com a sutileza das bolhas de gás. Sua embalagem elegante e prática de 510ml é perfeita para acompanhar momentos de descontração ou refeições especiais. Com um sabor limpo e revigorante, esta água com gás é a escolha ideal para quem busca uma experiência de alta qualidade e requinte.</span><br style=""color: #202124; font-family: Roboto, Arial, sans-serif; font-size: 16px; font-variant-ligatures: none; letter-spacing: 0.1px; white-space-collapse: preserve;"" /><br style=""color: #202124; font-family: Roboto, Arial, sans-serif; font-size: 16px; font-variant-ligatures: none; letter-spacing: 0.1px; white-space-collapse: preserve;"" /><span style=""color: #202124; font-family: Roboto, Arial, sans-serif; font-size: 16px; font-variant-ligatures: none; letter-spacing: 0.1px; white-space-collapse: preserve;"">_____________________________________________________________________________</span><br style=""color: #202124; font-family: Roboto, Arial, sans-serif; font-size: 16px; font-variant-ligatures: none; letter-spacing: 0.1px; white-space-collapse: preserve;"" /><br style=""color: #202124; font-family: Roboto, Arial, sans-serif; font-size: 16px; font-variant-ligatures: none; letter-spacing: 0.1px; white-space-collapse: preserve;"" /><span style=""color: #202124; font-family: Roboto, Arial, sans-serif; font-size: 16px; font-variant-ligatures: none; letter-spacing: 0.1px; white-space-collapse: preserve;"">Quantidade: Unidade com 510ml</span><br style=""color: #202124; font-family: Roboto, Arial, sans-serif; font-size: 16px; font-variant-ligatures: none; letter-spacing: 0.1px; white-space-collapse: preserve;"" /><br style=""color: #202124; font-family: Roboto, Arial, sans-serif; font-size: 16px; font-variant-ligatures: none; letter-spacing: 0.1px; white-space-collapse: preserve;"" /><span style=""color: #202124; font-family: Roboto, Arial, sans-serif; font-size: 16px; font-variant-ligatures: none; letter-spacing: 0.1px; white-space-collapse: preserve;"">Material: plástico pet</span></p>";03.003.00;;Pacote / Caixa;0;0;0;0;S;;;;;;;Alimentos;;;Clarissima;;Não;0;;;;;;;;Agua Sem Gás Clarissima 510Ml;Desfrute da pureza incomparável da Água sem Gás Claríssima 510ml. Sabor puro e leve em cada gole. Experimente já!;Àgua,Àgua sem gás,refrescante;Agua-Sem-Gás-Clarissima-510Ml;0;Não;;;;;;0;Sim;
343829644;3783;Aplicador De Fita Brasfort;Un;8422.30.29;0 - Nacional, exceto as indicadas nos códigos 3 a 5;54;0;;Ativo;-1;32,8;;;;0;0;0,34;0,34;7898094330768;;"<h3><strong>APLICADOR DE FITA BRASFORT</strong></h3> <p>O <strong data-start=""158"" data-end=""193"">Aplicador de Fitas Brasfort</strong> é a ferramenta ideal para quem busca agilidade e eficiência no fechamento de caixas e pacotes. Com <strong data-start=""293"" data-end=""311"">cabo anatômico</strong> e design ergonômico, proporciona <strong data-start=""345"" data-end=""363"">fácil manuseio</strong>, além de contar com <strong data-start=""384"" data-end=""405"">ajuste de pressão</strong>, garantindo firmeza na aplicação. Fabricado com <strong data-start=""454"" data-end=""486"">resina termoplástica e metal</strong>, é um equipamento resistente, durável e indispensável para ambientes logísticos ou comerciais.</p> <h3><strong>Especificações:</strong></h3> <p>Cor: Cinza e Azul</p> <p>Medidas: 240mm comprimento X 52mm largura X 160mm altura.</p> <p>Material: Resina termoplástica e metal</p> <p>Marca: Brasfort</p> <p>Aplicações: Lacrar E Vedar Caixas De Papelão, Pacotes E Outros.</p> <p>Arruela de 3 polegadas.</p> <p>Peso Aproximado Do Produto: 0,300 Kgs.</p> <p>Suporta fitas de até: 50mm x 100m</p> <h3><strong>Recomendado Para:</strong></h3> <ul> <li>Fechamento de Caixas</li> <li>E-commerce / Loja Virtual</li> <li>Transportadoras</li> <li>Correios</li> <li>Indústrias</li> <li>Comércio</li> </ul> <p>??Na MHM Caixas e Embalagens você também encontra: <a href=""http://www.new.mhmcaixas.com.br/envelope-de-seguranca""><strong>Caixas de Papelão para Correios</strong></a>, <a href=""https://new.mhmcaixas.com.br/envelopes-de-seguranca/""><strong>Envelope de Segurança,</strong></a> <a href=""http://www.new.mhmcaixas.com.br/fita-adesiva""><strong>Fitas adesivas </strong></a>e muito mais</p>";28.061.00;;Pacote / Caixa;15;8;25;0;S;https://s3.amazonaws.com/tiny-anexos-us/erp/MTI0Mjk0MDc0MA/a570fdd180f9e6e6bcd40a3b4079f866.jpg;;;;;;Papelaria;;;;;Não;0;;;;;;;;;;;0;0;Não;0;;;;;0;Sim;
343835800;3789;Aplicador De Fita Com Cabo Jocar;Un;8422.30.29;0 - Nacional, exceto as indicadas nos códigos 3 a 5;46,9;0;;Ativo;104;29,21;82845;;;0;0;0,37;0,37;7897256272236;;"<h3><strong>Aplicador de Fitas C/ Cabo Jocar Office </strong></h3> <p>O <strong data-start=""158"" data-end=""193"">Aplicador de Fitas Jocar Office</strong> é a ferramenta ideal para quem busca agilidade e eficiência no fechamento de caixas e pacotes. Com <strong data-start=""293"" data-end=""311"">cabo anatômico</strong> e design ergonômico, proporciona <strong data-start=""345"" data-end=""363"">fácil manuseio</strong>, além de contar com <strong data-start=""384"" data-end=""405"">ajuste de pressão</strong>, garantindo firmeza na aplicação. Fabricado com <strong data-start=""454"" data-end=""486"">resina termoplástica e metal</strong>, é um equipamento resistente, durável e indispensável para ambientes logísticos ou comerciais.</p> <h3><strong>Especificações:</strong></h3> <p>Cor: Preto e Laranja</p> <p>Medidas: 240mm comprimento X 52mm largura X 160mm altura.</p> <p>Material: Resina termoplástica e metal</p> <p>Marca: Jocar Office</p> <p>Aplicações: Lacrar E Vedar Caixas De Papelão, Pacotes E Outros.</p> <p>Arruela de 3 polegadas.</p> <p>Peso Aproximado Do Produto: 0,300 Kgs.</p> <p>Suporta fitas de até: 50mm x 100m</p> <h3><strong>Recomendado Para:</strong></h3> <ul> <li>Fechamento de Caixas</li> <li>E-commerce / Loja Virtual</li> <li>Transportadoras</li> <li>Correios</li> <li>Indústrias</li> <li>Comércio</li> </ul> <p>??Na MHM Caixas e Embalagens você também encontra: <a href=""http://www.new.mhmcaixas.com.br/envelope-de-seguranca""><strong>Caixas de Papelão para Correios</strong></a>, <a href=""https://new.mhmcaixas.com.br/envelopes-de-seguranca/""><strong>Envelope de Segurança,</strong></a> <a href=""http://www.new.mhmcaixas.com.br/fita-adesiva""><strong>Fitas adesivas </strong></a>e muito mais</p>";28.061.00;;Pacote / Caixa;16;7;25;0;S;https://s3.amazonaws.com/tiny-anexos-us/erp/MTI0Mjk0MDc0MA/80b0181e8e84507d4feb33d72e22e6e8.jpg;;;;;;Papelaria;;;;;Não;0;;;;;;;;;;;0;0;Não;0;;;;;0;Sim;
